Name,Image
Sushant Singh Rajput,"https://m.media-amazon.com/images/M/MV5BZjA4ZjNmYzUtZDAwNS00MTk4LWIzYjEtYWFlZDJhYTk1MzcyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR8,0,140,209_AL_.jpg"
Raza Murad,"https://m.media-amazon.com/images/M/MV5BNDAzYzNkOGItM2I2My00M2ViLThhZTgtZjYxN2FiZWYzNzdmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR6,0,140,209_AL_.jpg"
Pankaj Kapur,"https://m.media-amazon.com/images/M/MV5BZTY2NjI0ZjYtMDM2My00ZjE1LWFiNmQtYWI3OGY2NDgwNTE3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR3,0,140,209_AL_.jpg"
Danny Denzongpa,"https://m.media-amazon.com/images/M/MV5BMzI4Njg3OTcyNF5BMl5BanBnXkFtZTcwNzQzMTYxOA@@._V1_UY209_CR11,0,140,209_AL_.jpg"
Sanjay Mishra,"https://m.media-amazon.com/images/M/MV5BMTM0OTU2NDYyNl5BMl5BanBnXkFtZTYwNTYyNDgy._V1_UX140_CR0,0,140,209_AL_.jpg"
Farooq Shaikh,"https://m.media-amazon.com/images/M/MV5BNzY3ODZmNDctZDA0ZC00NGNmLTgzZmItM2JhMTI4MzM3NTU2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR0,0,140,209_AL_.jpg"
Farhan Akhtar,"https://m.media-amazon.com/images/M/MV5BMjA4MjYwNzAzM15BMl5BanBnXkFtZTcwMzUyMTUxNw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Abhay Deol,"https://m.media-amazon.com/images/M/MV5BMTU2NzkzODA3OV5BMl5BanBnXkFtZTcwMzk2MDMyOA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Tiger Shroff,"https://m.media-amazon.com/images/M/MV5BNjUyMTQyNDA2M15BMl5BanBnXkFtZTgwNDI4ODEzOTE@._V1_UX140_CR0,0,140,209_AL_.jpg"
Arbaaz Khan,"https://m.media-amazon.com/images/M/MV5BYTYzMzA2MjMtYTU3Ni00YWEwLWEzMTgtMDIwY2MzMTBlNDRmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR0,0,140,209_AL_.jpg"
Vivek Oberoi,"https://m.media-amazon.com/images/M/MV5BMjA0NjYxODI4MF5BMl5BanBnXkFtZTgwMDcwMDMzOTE@._V1_UX140_CR0,0,140,209_AL_.jpg"
Aditya Pancholi,"https://m.media-amazon.com/images/M/MV5BMzkzNTk2OTk1MV5BMl5BanBnXkFtZTgwMjA1ODA0OTE@._V1_UY209_CR5,0,140,209_AL_.jpg"
Deepak Tijori,"https://m.media-amazon.com/images/M/MV5BNmIwYzhiNjUtYmY3NS00YjdhLTlkM2UtZDJhZDJiNDkzNDI5XkEyXkFqcGdeQXVyNDY2Nzg2NQ@@._V1_UY209_CR34,0,140,209_AL_.jpg"
Mohnish Bahl,"https://m.media-amazon.com/images/M/MV5BZWRlMmFiZWUtYWY3Ni00NDkwLWFlZmQtOWE2NjI2MDUzYTczXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR4,0,140,209_AL_.jpg"
Zayed Khan,"https://m.media-amazon.com/images/M/MV5BMTA4NTg4NDQxMjheQTJeQWpwZ15BbWU4MDY0MzI4Mzkx._V1_UY209_CR87,0,140,209_AL_.jpg"
Annu Kapoor,"https://m.media-amazon.com/images/M/MV5BMjE4MjAxODk1NV5BMl5BanBnXkFtZTcwODQ0MjY2Nw@@._V1_UY209_CR87,0,140,209_AL_.jpg"
Ayushmann Khurrana,"https://m.media-amazon.com/images/M/MV5BOTk4MDY4ODAwNl5BMl5BanBnXkFtZTcwNzQ0MjY2Nw@@._V1_UY209_CR87,0,140,209_AL_.jpg"
Fawad Khan,"https://m.media-amazon.com/images/M/MV5BYTllNWRhMDgtMGNlNS00OTkzLTgxNTQtZDQ0ZmFhMDdmOGUzXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR87,0,140,209_AL_.jpg"
Arshad Warsi,"https://m.media-amazon.com/images/M/MV5BNmMwOGYwMjUtN2M5My00ODIxLWI3ZjctODM2MGI4OGQzOWM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR6,0,140,209_AL_.jpg"
